Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,198,22,-1.000,-1.000,1614
1,2,196,36,1.824,0.912,1566
1,3,196,50,1.806,0.903,1627
1,4,194,61,1.442,0.721,1507
1,5,193,72,1.425,0.712,1470
1,6,197,77,0.826,0.413,1531
1,7,186,100,3.289,1.644,1544
1,8,188,116,2.080,1.040,1503
1,9,190,132,2.080,1.040,1514
1,10,192,145,1.697,0.848,1524
1,11,192,158,1.677,0.839,1563
1,12,190,176,2.336,1.168,1565
1,13,192,197,2.721,1.361,1593
1,14,198,218,2.817,1.409,1490
1,15,206,236,2.541,1.271,1523
1,16,218,272,4.895,2.448,1850
1,17,238,296,4.030,2.015,1791
1,18,257,316,3.559,1.779,1251
1,19,260,330,1.847,0.923,923
1,20,273,333,1.721,0.861,1173
1,21,282,349,2.368,1.184,952
