Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,866,528,-1.000,-1.000,2489
1,2,865,532,0.532,0.266,2459
1,3,866,532,0.129,0.065,2491
1,4,862,533,0.532,0.266,2521
1,5,861,536,0.408,0.204,2375
1,6,860,532,0.532,0.266,2527
1,7,857,534,0.465,0.233,2509
1,8,853,536,0.577,0.288,2415
1,9,850,536,0.387,0.194,2344
1,10,853,541,0.752,0.376,2288
1,11,848,534,1.110,0.555,2395
1,12,845,538,0.645,0.323,2365
1,13,841,538,0.516,0.258,2316
1,14,837,536,0.577,0.288,2326
1,15,832,537,0.658,0.329,2217
1,16,834,540,0.465,0.233,2407
1,17,832,542,0.365,0.182,2245
1,18,826,541,0.785,0.392,2339
1,19,825,540,0.182,0.091,2217
1,20,822,542,0.465,0.233,2334
1,21,820,541,0.288,0.144,2249
1,22,817,538,0.547,0.274,2316
1,23,816,542,0.532,0.266,2299
1,24,809,541,0.912,0.456,2318
1,25,809,542,0.129,0.065,2323
1,26,802,541,0.912,0.456,2206
1,27,804,538,0.465,0.233,2193
1,28,800,545,1.040,0.520,2171
1,29,797,545,0.387,0.194,2091
1,30,794,549,0.645,0.323,2280
1,31,789,546,0.752,0.376,2260
1,32,788,549,0.408,0.204,2277
1,33,785,549,0.387,0.194,2282
1,34,784,550,0.182,0.091,2416
1,35,780,552,0.577,0.288,2319
1,36,773,552,0.903,0.452,2248
1,37,769,549,0.645,0.323,2333
1,38,768,550,0.182,0.091,2353
1,39,764,550,0.516,0.258,2246
1,40,760,550,0.516,0.258,2276
1,41,756,554,0.730,0.365,2395
1,42,753,554,0.387,0.194,2351
1,43,745,556,1.064,0.532,2182
1,44,745,554,0.258,0.129,2383
1,45,742,556,0.465,0.233,2352
1,46,736,554,0.816,0.408,2272
1,47,734,560,0.816,0.408,2245
1,48,730,557,0.645,0.323,2309
1,49,718,558,1.553,0.777,2180
1,50,716,560,0.365,0.182,2255
1,51,712,558,0.577,0.288,2340
1,52,709,558,0.387,0.194,2285
1,53,705,562,0.730,0.365,2291
1,54,698,562,0.903,0.452,2316
1,55,692,565,0.865,0.433,2343
1,56,688,566,0.532,0.266,2230
1,57,678,566,1.290,0.645,2324
1,58,672,570,0.930,0.465,2086
1,59,666,568,0.816,0.408,2189
1,60,660,569,0.785,0.392,2249
1,61,652,570,1.040,0.520,2248
1,62,641,572,1.442,0.721,2119
1,63,634,572,0.903,0.452,2175
1,64,625,574,1.189,0.595,1928
1,65,617,577,1.102,0.551,1900
1,66,608,578,1.168,0.584,1679
1,67,590,581,2.354,1.177,1421
1,68,577,584,1.721,0.861,1268
1,69,560,586,2.208,1.104,1195
1,70,537,590,3.012,1.506,1253
1,71,500,598,4.883,2.442,2622
1,72,428,609,9.396,4.698,1261
