Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,692,109,-1.000,-1.000,8342
1,2,690,110,0.288,0.144,7984
1,3,689,117,0.912,0.456,7928
1,4,686,120,0.547,0.274,7441
1,5,681,125,0.912,0.456,6121
1,6,677,126,0.532,0.266,6588
1,7,674,130,0.645,0.323,6228
1,8,670,136,0.930,0.465,4875
1,9,669,140,0.532,0.266,4178
1,10,664,142,0.695,0.347,4400
1,11,660,146,0.730,0.365,3931
1,12,654,152,1.095,0.547,3053
1,13,652,158,0.816,0.408,2855
1,14,646,161,0.865,0.433,2667
1,15,645,164,0.408,0.204,2514
1,16,638,170,1.189,0.595,2337
1,17,634,173,0.645,0.323,1992
1,18,630,184,1.510,0.755,1824
1,19,625,185,0.658,0.329,1841
1,20,622,190,0.752,0.376,1719
1,21,617,196,1.008,0.504,1585
1,22,609,204,1.459,0.730,1453
1,23,605,213,1.271,0.635,1454
1,24,598,217,1.040,0.520,1370
1,25,593,222,0.912,0.456,1273
1,26,590,229,0.982,0.491,1330
1,27,580,241,2.015,1.008,1282
1,28,574,249,1.290,0.645,1348
1,29,569,254,0.912,0.456,1226
1,30,562,266,1.792,0.896,1191
1,31,553,281,2.257,1.128,1249
1,32,540,293,2.282,1.141,1261
1,33,533,304,1.682,0.841,1248
1,34,522,321,2.612,1.306,1324
1,35,508,341,3.149,1.575,1314
1,36,492,365,3.721,1.860,1276
1,37,466,400,5.624,2.812,1676
1,38,429,474,10.673,5.336,1088
1,39,422,481,1.277,0.639,728
1,40,422,481,0.000,0.000,762
1,41,424,480,0.288,0.144,797
