Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,784,522,-1.000,-1.000,2247
1,2,778,525,0.865,0.433,2150
1,3,773,525,0.645,0.323,2277
1,4,769,528,0.645,0.323,2119
1,5,766,525,0.547,0.274,2284
1,6,760,526,0.785,0.392,2278
1,7,754,528,0.816,0.408,2300
1,8,748,532,0.930,0.465,2108
1,9,742,536,0.930,0.465,2150
1,10,738,532,0.730,0.365,2295
1,11,732,533,0.785,0.392,2313
1,12,725,533,0.903,0.452,2190
1,13,718,537,1.040,0.520,2242
1,14,710,537,1.032,0.516,2149
1,15,706,537,0.516,0.258,2105
1,16,696,540,1.347,0.673,2040
1,17,690,542,0.816,0.408,2094
1,18,680,542,1.290,0.645,1823
1,19,673,546,1.040,0.520,1965
1,20,662,546,1.419,0.710,1740
1,21,656,549,0.865,0.433,1621
1,22,641,549,1.935,0.968,1429
1,23,629,554,1.677,0.839,1390
1,24,617,557,1.596,0.798,1259
1,25,600,564,2.372,1.186,1237
1,26,581,568,2.505,1.252,1332
1,27,561,576,2.779,1.389,1194
1,28,516,578,5.811,2.905,3057
1,29,474,588,5.569,2.785,2712
1,30,416,594,7.522,3.761,785
