Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,1255,571,-1.000,-1.000,28931
1,2,1253,571,0.258,0.129,27986
1,3,1250,572,0.408,0.204,28139
1,4,1248,572,0.258,0.129,27481
1,5,1244,574,0.577,0.288,20320
1,6,1241,571,0.547,0.274,21676
1,7,1241,574,0.387,0.194,20874
1,8,1239,571,0.465,0.233,21160
1,9,1236,571,0.387,0.194,21433
1,10,1233,573,0.465,0.233,21842
1,11,1228,571,0.695,0.347,19067
1,12,1226,571,0.258,0.129,19982
1,13,1224,571,0.258,0.129,20069
1,14,1221,572,0.408,0.204,20818
1,15,1218,571,0.408,0.204,18773
1,16,1217,572,0.182,0.091,18388
1,17,1214,571,0.408,0.204,16935
1,18,1214,578,0.903,0.452,4567
1,19,1207,572,1.189,0.595,18241
1,20,1205,572,0.258,0.129,17484
1,21,1202,573,0.408,0.204,17806
1,22,1198,573,0.516,0.258,16882
1,23,1194,573,0.516,0.258,15034
1,24,1194,573,0.000,0.000,15655
1,25,1190,573,0.516,0.258,15950
1,26,1187,573,0.387,0.194,15363
1,27,1184,574,0.408,0.204,15523
1,28,1182,575,0.288,0.144,14042
1,29,1179,573,0.465,0.233,13646
1,30,1175,573,0.516,0.258,13695
1,31,1171,573,0.516,0.258,13105
1,32,1168,575,0.465,0.233,13225
1,33,1166,575,0.258,0.129,13173
1,34,1163,574,0.408,0.204,12772
1,35,1159,574,0.516,0.258,12558
1,36,1155,576,0.577,0.288,11710
1,37,1154,575,0.182,0.091,11194
1,38,1151,578,0.547,0.274,8721
1,39,1148,574,0.645,0.323,9843
1,40,1142,573,0.785,0.392,9905
1,41,1139,573,0.387,0.194,9778
1,42,1135,575,0.577,0.288,10464
1,43,1133,576,0.288,0.144,10186
1,44,1128,575,0.658,0.329,9895
1,45,1125,576,0.408,0.204,9832
1,46,1119,575,0.785,0.392,8552
1,47,1118,578,0.408,0.204,9226
1,48,1113,578,0.645,0.323,9076
1,49,1112,578,0.129,0.065,8506
1,50,1107,577,0.658,0.329,8806
1,51,1103,578,0.532,0.266,8959
1,52,1098,577,0.658,0.329,8392
1,53,1095,576,0.408,0.204,7856
1,54,1093,578,0.365,0.182,8115
1,55,1088,579,0.658,0.329,8406
1,56,1083,577,0.695,0.347,7586
1,57,1080,578,0.408,0.204,7682
1,58,1077,579,0.408,0.204,7464
1,59,1072,579,0.645,0.323,7617
1,60,1067,579,0.645,0.323,7686
1,61,1062,578,0.658,0.329,6933
1,62,1059,581,0.547,0.274,7334
1,63,1053,583,0.816,0.408,6838
1,64,1050,582,0.408,0.204,6859
1,65,1043,582,0.903,0.452,6908
1,66,1039,584,0.577,0.288,6774
1,67,1037,583,0.288,0.144,6375
1,68,1030,583,0.903,0.452,6727
1,69,1028,586,0.465,0.233,5367
1,70,1021,584,0.939,0.470,6430
1,71,1013,584,1.032,0.516,6016
1,72,1010,585,0.408,0.204,6330
1,73,1004,585,0.774,0.387,6448
1,74,1001,586,0.408,0.204,5890
1,75,992,586,1.161,0.581,5916
1,76,986,585,0.785,0.392,5548
1,77,983,587,0.465,0.233,5867
1,78,976,589,0.939,0.470,5756
1,79,969,590,0.912,0.456,5433
1,80,963,589,0.785,0.392,5513
1,81,957,588,0.785,0.392,5405
1,82,952,591,0.752,0.376,5348
1,83,943,591,1.161,0.581,5567
1,84,935,591,1.032,0.516,5156
1,85,928,593,0.939,0.470,5142
1,86,922,593,0.774,0.387,5052
1,87,914,594,1.040,0.520,4946
1,88,906,593,1.040,0.520,4910
1,89,897,596,1.224,0.612,4749
1,90,888,598,1.189,0.595,4570
1,91,879,599,1.168,0.584,4419
1,92,868,599,1.419,0.710,4424
1,93,860,598,1.040,0.520,4628
1,94,847,601,1.721,0.861,4218
1,95,837,600,1.296,0.648,4353
1,96,825,603,1.596,0.798,4396
1,97,815,603,1.290,0.645,4331
1,98,799,606,2.100,1.050,4244
1,99,782,607,2.197,1.098,4115
1,100,767,605,1.952,0.976,3760
1,101,746,610,2.785,1.392,3833
1,102,727,611,2.454,1.227,3695
1,103,703,612,3.099,1.549,3704
1,104,669,615,4.403,2.202,3586
1,105,611,616,7.483,3.742,3798
1,106,535,603,9.946,4.973,1933
