Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,669,26,-1.000,-1.000,4435
1,2,666,26,0.387,0.194,3698
1,3,665,32,0.785,0.392,4255
1,4,664,34,0.288,0.144,3907
1,5,661,37,0.547,0.274,3990
1,6,658,40,0.547,0.274,3734
1,7,656,42,0.365,0.182,3716
1,8,656,48,0.774,0.387,2957
1,9,654,49,0.288,0.144,3300
1,10,652,52,0.465,0.233,2880
1,11,649,56,0.645,0.323,2547
1,12,646,57,0.408,0.204,2225
1,13,645,60,0.408,0.204,2146
1,14,644,61,0.182,0.091,2007
1,15,642,65,0.577,0.288,1836
1,16,638,72,1.040,0.520,2006
1,17,637,72,0.129,0.065,1759
1,18,634,76,0.645,0.323,1902
1,19,632,80,0.577,0.288,2401
1,20,630,84,0.577,0.288,1887
1,21,629,88,0.532,0.266,2344
1,22,626,88,0.387,0.194,2086
1,23,625,92,0.532,0.266,2152
1,24,622,96,0.645,0.323,2521
1,25,620,101,0.695,0.347,2094
1,26,618,105,0.577,0.288,2694
1,27,617,109,0.532,0.266,2421
1,28,613,113,0.730,0.365,3135
1,29,612,117,0.532,0.266,2937
1,30,608,121,0.730,0.365,3949
1,31,605,126,0.752,0.376,5658
1,32,604,130,0.532,0.266,7998
1,33,602,136,0.816,0.408,4290
1,34,600,138,0.365,0.182,4152
1,35,597,144,0.865,0.433,3988
1,36,594,149,0.752,0.376,10398
1,37,592,153,0.577,0.288,18484
1,38,589,158,0.752,0.376,26916
1,39,586,164,0.865,0.433,31545
1,40,584,169,0.695,0.347,37600
1,41,580,176,1.040,0.520,28991
1,42,578,182,0.816,0.408,29973
1,43,577,185,0.408,0.204,27329
1,44,572,194,1.328,0.664,25047
1,45,570,198,0.577,0.288,26042
1,46,568,206,1.064,0.532,22294
1,47,562,216,1.504,0.752,12099
1,48,560,220,0.577,0.288,17686
1,49,558,229,1.189,0.595,14264
1,50,552,234,1.008,0.504,11035
1,51,550,245,1.442,0.721,11325
1,52,548,252,0.939,0.470,9833
1,53,542,262,1.504,0.752,8450
1,54,538,272,1.389,0.695,7481
1,55,536,284,1.569,0.785,7001
1,56,532,297,1.755,0.877,6097
1,57,526,308,1.616,0.808,5275
1,58,525,324,2.068,1.034,4826
1,59,518,340,2.253,1.126,4234
1,60,512,356,2.204,1.102,3848
1,61,509,378,2.864,1.432,3603
1,62,505,405,3.521,1.761,3194
1,63,498,441,4.731,2.365,2899
1,64,506,525,10.885,5.443,1910
1,65,514,548,3.141,1.571,1608
